date,title,id,views,subs,videoCount
2021-05-29,Debunk the Funk with Dr. Wilson,UCJ2SN2gN1dmrFBEo6TWIzOw,208256.0,5470.0,75.0
2021-05-29,Parents For Healthcare Rights,UCKt-o4gMYO7FH2MLkynIphA,7042838.0,13200.0,410.0
2021-05-29,Dr. John Campbell,UCF9IOB2TExg3QIBupFtBDxg,154521743.0,979000.0,1721.0
2021-05-29,Medcram Med,UCJ_Uk2DDbsnjq8OLIkHrUfw,0.0,2.0,0.0
2021-05-29,Drbeen Medical Lectures,UCrtd2wePvAl6RN_D-9jWVQQ,23820102.0,311000.0,1005.0
2021-05-29,Mercola,UCxscQY7X0mtnaCbkGTjZ17g,104469882.0,388000.0,2531.0
2021-05-29,Erin Elizabeth at Health Nut News,UC85x4iQIC8JENyLy6xRsF8Q,5315506.0,48000.0,526.0
2021-05-29,DrStella Immanuel,UCXfDKqaPr6U1w9u9p_K-QoA,3202739.0,49600.0,430.0
2021-05-29,Vaccine Myth,UCwX9Y4p6EJ-ZXutGY7x4DIQ,164274.0,1970.0,172.0
2021-05-29,LarryCook333,UCGW2Yqy7GvjDg92HdW9urdA,9057881.0,52000.0,520.0
2021-05-29,Russell Brand,UCswH8ovgUp5Bdg-0_JTYFNw,307785612.0,3240000.0,1338.0
2021-05-29,ZDoggMD,UCFyRz1N_T-rnSkbaAH_TFAw,66131665.0,350000.0,1091.0
2021-05-29,Kelly Brogan MD,UCrd5zW6kiV52XuvOvIeYrEQ,1361521.0,23300.0,112.0
2021-05-29,joerogan,UCQvYJUv8erljnRHgV1XwzVw,972.0,11.0,1.0
2021-05-29,Association of American Physicians and Surgeons,UC3s3FP43fBfHUH0rmpb5r4Q,1333935.0,9290.0,516.0
2021-05-29,North Carolina Department of Health and Human Services,UCw5kLIHIJZPjetMjbjLSHQg,1103566.0,3030.0,587.0
2021-05-30,INFORMATION WARFARE,UCUbCBA3uLH49uOeKBA9zQ3A,10510.0,32.0,32.0
2021-05-30,Carl Vernon,UC7rlvlj-jumO7LrXpP-8NZQ,24494219.0,72600.0,909.0
2021-05-30,CrowderBits,UCMAtX9eFBpwc4LtgvbqsOpQ,229285847.0,955000.0,1053.0
2021-05-30,Tate Chasers,UChS7p2emhoFlyDSthDk7PWA,570275.0,2030.0,82.0
2021-05-30,TFIglobal,UCZz8q2tZC7QuQiFwPKQ4Bug,154112221.0,337000.0,1129.0
2021-05-30,David Mongielo,UCAmLN5U6ndPgEcc4XpMBdxg,217963.0,496.0,173.0
2021-05-30,Petrified News,UCnCJI5CILRrdK24R48H2r6w,53089.0,402.0,115.0
2021-05-30,Victory Entertainment,UCEMLBAiyLY4tCUxQ9OJaBlA,134502.0,1590.0,189.0
2021-05-30,WE GOT A PROBLEM,UCLWT1NTlgP7CCs4ZNNpe5AQ,82223863.0,160000.0,1235.0
2021-05-30,Lightbeamer 2,UCUyIdrYUJt036l00tkHfx0w,354563.0,3690.0,52.0
2021-05-30,Mr.Sauceman X,UCYpe0dPGgAW70SWBECOeM4A,530517.0,2590.0,365.0
2021-05-30,Veritas TV,UCzAKaxOOeD8MnZ4_LitjWpA,10185427.0,95900.0,1468.0
2021-05-30,China Uncensored,UCgFP46yVT-GG4o1TgXn-04Q,355223793.0,1610000.0,1446.0
2021-05-30,The Pholosopher,UCT5KWZpslhrYKBhdCUUzr1Q,946782.0,28100.0,199.0
2021-05-30,Unidentified - Whistleblower,UCAyKDaEmdk3MAv14P3X_-tw,1021.0,70.0,11.0
2021-05-30,Dr. Steve Turley,UCCsiAKRKcgzA_372WbXNBaw,228058913.0,748000.0,2107.0
2021-05-30,John Talks,UCUZAUoL2_bd9cR8R5T_iSlQ,62510596.0,117000.0,1199.0
2021-05-30,Body Language Ghost,UC7n8r27jRnjpYpfyEfBOLFw,28933940.0,-1.0,220.0
2021-05-30,Odair Del Pozzo,UCXA6RQ5Je4HiagqAPpuX1sw,8731290.0,94600.0,516.0
2021-05-30,Daniel Silveira - Deputado Federal,UCXwAKQLIE7lTs21VJ1oSBhA,1922575.0,73000.0,360.0
2021-05-30,Augusto Almeida,UCKNsAq3tNpbvATnAbK3nwDA,3140724.0,23900.0,1090.0
2021-05-30,1822jornal,UCl4GlGXR0ED6AUJU1kRhRzQ,0.0,20300.0,0.0
2021-05-30,Novo Brasil Notícias,UCXqTpcsO4kgwk5K5v76Ushw,57946.0,836.0,727.0
2021-05-30,Os Pingos nos Is,UCzjtGnD7qqeaHW3nvDVrjQA,1321151408.0,3380000.0,6434.0
2021-05-30,Arthur Weintraub,UCmnSD245HC6yT_ABIIfEcNQ,475443.0,38400.0,82.0
2021-05-30,Jair Bolsonaro,UC8hGUtfEgvvnp6IaHSAg1OQ,232405865.0,3400000.0,2822.0
2021-05-30,EDUARDO BOLSONARO,UCkR6xPOHhpjq3wnFchVI4sg,68841834.0,857000.0,1667.0
2021-05-30,Flavio Bolsonaro,UCl2HptoHv6PjZMQAwTdA--Q,25760176.0,320000.0,1560.0
2021-05-30,Carlos Bolsonaro,UCBrntWupyTRnnsRy3dA4VdA,52095998.0,298000.0,1251.0
2021-05-30,Carla Zambelli,UCX9VzlP1DyeasSivEr9Eddw,42769135.0,467000.0,2667.0
2021-05-30,What's going on?,UCIQWl7Vsw2BkNF3IDp7W_sg,9923.0,147.0,20.0
2021-05-30,A Taste of Medicine,UCUL6210K8wHs1nenNh5gtAA,41910.0,201.0,11.0
2021-05-30,Pascal Juang MD,UCrfOP0dgfFhxAYILfsHKGiw,5832.0,238.0,23.0
2021-05-30,OVALmedia in English,UCtx0AYvGYw4uxug_zPAfVIA,849437.0,13800.0,55.0
2021-05-30,Dr. Hong's Pharmacy Classroom,UCFbWA0wLcQk3eoRv6nIb-1A,90987.0,1320.0,88.0
2021-05-30,Whiteboard Doctor,UCiMhM7xCTT8b5SJRnhpH7Ag,1642650.0,21900.0,399.0
2021-05-30,"F. Perry Wilson, MD",UCu4OHd94MHqjlMp_Mgks84w,1340912.0,11200.0,368.0
2021-05-30,Triggernometry,UC7oPkqeHTwuOZ5CZ-R9f-6w,23850006.0,246000.0,322.0
2021-05-30,OH MY GOD,UC78Iz691HisenUxRwnFkk1Q,163577.0,944.0,447.0
2021-05-30,PANDA,UCDdN8LSNc3onvOyCd_UR5wg,103692.0,4300.0,33.0
2021-05-30,Doctor Mike Hansen,UCMSsLqxqvZsNXi0Z-VjN89A,49398590.0,670000.0,95.0
2021-05-30,"Christy Risinger, MD",UCsROLRYekI50Ew8GXRWYn2g,14461921.0,97400.0,93.0
2021-05-30,STRANGER THAN FICTION NEWS,UCs152rb_PU7LuxzwZ4SpbjA,1535475.0,19400.0,306.0
2021-05-30,Vaccine Risks,UCbsEOodoIrWNrBhsqXIW1Vg,82412.0,2900.0,25.0
2021-05-30,Vaccine Wars,UCL8IU3JsDLxAQKsdLBahwwQ,128232.0,23900.0,92.0
2021-05-30,Hear This Well: Breaking the Silence on Vaccine Violence,UCFCrfK5rP_B6huriP1hLApw,1602013.0,3890.0,294.0
2021-05-30,Vaccine Rights,UC9F4ptzf85Zl2mTskvJV3Aw,28496.0,882.0,126.0
2021-05-30,The Messiahs Return,UCiLrcNHBTdsLZlMOSZzwBIQ,41364.0,871.0,166.0
2021-05-30,GreenMedInfo.com,UC948hzpVhfoHjkjWObJHV3Q,589379.0,15400.0,70.0
2021-05-30,Drbeen Medical Lectures,UCrtd2wePvAl6RN_D-9jWVQQ,23886141.0,312000.0,1005.0
2021-05-30,TrialSite News,UC4tNlDJkV_YdwMErMRutt4A,4498153.0,48000.0,227.0
2021-05-30,Doctor Mike,UC0QHWhjbe5fGJEPz3sVb6nw,896639760.0,7220000.0,356.0
2021-05-30,Doctor Mike Hansen,UCMSsLqxqvZsNXi0Z-VjN89A,49398590.0,670000.0,95.0
2021-05-30,Dr Pal,UCP4k407eomZThGHo_9sgMkg,7365509.0,117000.0,80.0
2021-05-30,Dr. Suneel Dhand - MedStoic Lifestyle Medicine,UCU-Jctu4JTEGFtVnsuqdd5Q,6201753.0,97200.0,160.0
2021-05-30,Dr. Sam Bailey,UCyD52JnQnXkLe5HGm4IArHw,16910993.0,242000.0,100.0
2021-05-30,GreenMedInfo.com,UC948hzpVhfoHjkjWObJHV3Q,589379.0,15400.0,70.0
2021-05-30,Dr. Ben Tapper,UCV34-Z_GmMMpZwXvcoqaF-g,18083.0,929.0,10.0
2021-05-30,My Incredible Opinion with Forrest Maready,UCwc0nUV55sTXXwS2E8UchmA,886801.0,13600.0,141.0
2021-05-30,Debunk the Funk with Dr. Wilson,UCJ2SN2gN1dmrFBEo6TWIzOw,208913.0,5470.0,75.0
2021-05-30,Danny Tommo,UCe_NpqhP5Y2_25OoXcmNsGA,1679805.0,25500.0,76.0
2021-05-30,EntertheStars,UCxgB6grGSx3bcB3vlcy7Tfg,14450370.0,97400.0,1905.0
2021-05-30,CinemaLibre,UCPRV4ofh41GyxezlTw0kkqA,7195849.0,7310.0,648.0
2021-05-30,Paul Joseph Watson,UCittVh8imKanO_5KohzDbpg,497512457.0,1880000.0,801.0
2021-05-30,Dr. Frita,UCBve_ppCNE67fs3MsIocitg,10698746.0,291000.0,107.0
2021-05-30,Unity News Network,UC44ygHhf5-2W-uR44BpPVdg,3973449.0,39600.0,705.0
2021-05-30,Front Line COVID-19 Critical Care Alliance - FLCCC,UC5rJlf5jdr_I6qiozbQdx-g,1839145.0,26900.0,25.0
2021-05-30,talkRADIO,UCm0yTweyAa0PwEIp0l3N_gA,148997826.0,268000.0,5061.0
2021-05-30,Subject Access,UCnGBNHhhgXeTjmqM_C-drsg,5798036.0,44700.0,128.0
2021-05-30,Idaho Freedom TV,UCPQsmBrZLNgVp7g_XV73dKw,796073.0,5970.0,407.0
2021-05-30,Tracey O' Mahony Barrister at Law,UC2TVSCwWPQQscAqFlFWRIDw,537424.0,12500.0,36.0
2021-05-30,RonPaulLibertyReport,UCkJ1N-7g9Q6n7KnriGit-Ig,32183444.0,282000.0,1856.0
2021-05-30,Bret Weinstein,UCi5N_uAqApEUIlg32QzkPlg,24960009.0,297000.0,244.0
2021-05-30,Sputnik V,UCLvQuKL3Nn7NnT9Jyi_dlgQ,832313.0,5860.0,37.0
2021-05-30,Covexit News and Analysis,UChsuq2uAwfsUK707FocaT8Q,480148.0,8250.0,40.0
2021-05-30,Ohio Department of Health,UCBYbGpgjIoXKHwr4hYUU10g,1626521.0,2160.0,104.0
2021-05-30,Michael Heaver,UCnVjidHzypKf5oTKWSA1G3g,15080752.0,60700.0,751.0
2021-05-30,Big Brother Watch,UCNDWHbVrIRW_FQ8rkE1Z1GQ,337141.0,10500.0,47.0
2021-05-30,Bright Light News,UCxCYYyKOs0Eoh9vLm9UEX3g,203193.0,2920.0,78.0
2021-05-30,Children's Health Defense,UCZcW0uVZDTaEXfBS-JV-zUg,2735411.0,44400.0,196.0
2021-05-30,Pandemic Podcast,UCzoK4wqTk85XzSTdy1XHz3g,524425.0,14600.0,93.0
2021-05-30,Geert Vanden Bossche,UC_yhGQiJ5lTmOaoIQA91GzA,747714.0,30200.0,9.0
2021-05-30,Vejon Health,UCSxeKmlI8XLrI1eMaqqM-kg,1693307.0,19900.0,58.0
2021-05-30,Biblical Prescriptions for Life,UCQwPX_sEaDhYEfbnmh6dAow,2618984.0,85900.0,114.0
2021-05-30,Benjamin Neuman,UCzO29pYlZACoX-9a895PPtw,140176.0,1090.0,459.0
2021-05-30,Debunk the Funk with Dr. Wilson,UCJ2SN2gN1dmrFBEo6TWIzOw,208913.0,5470.0,75.0
2021-05-30,Parents For Healthcare Rights,UCKt-o4gMYO7FH2MLkynIphA,7043278.0,13200.0,410.0
2021-05-30,Dr. John Campbell,UCF9IOB2TExg3QIBupFtBDxg,154650033.0,980000.0,1721.0
2021-05-30,Medcram Med,UCJ_Uk2DDbsnjq8OLIkHrUfw,0.0,2.0,0.0
2021-05-30,Drbeen Medical Lectures,UCrtd2wePvAl6RN_D-9jWVQQ,23886141.0,312000.0,1005.0
2021-05-30,Mercola,UCxscQY7X0mtnaCbkGTjZ17g,104475681.0,388000.0,2531.0
2021-05-30,Erin Elizabeth at Health Nut News,UC85x4iQIC8JENyLy6xRsF8Q,5315673.0,48000.0,526.0
2021-05-30,DrStella Immanuel,UCXfDKqaPr6U1w9u9p_K-QoA,3218600.0,50200.0,430.0
2021-05-30,Vaccine Myth,UCwX9Y4p6EJ-ZXutGY7x4DIQ,164288.0,1970.0,172.0
2021-05-30,LarryCook333,UCGW2Yqy7GvjDg92HdW9urdA,9058082.0,52000.0,520.0
2021-05-30,Russell Brand,UCswH8ovgUp5Bdg-0_JTYFNw,308483119.0,3250000.0,1338.0
2021-05-30,ZDoggMD,UCFyRz1N_T-rnSkbaAH_TFAw,66149469.0,350000.0,1091.0
2021-05-30,Kelly Brogan MD,UCrd5zW6kiV52XuvOvIeYrEQ,1361645.0,23300.0,112.0
2021-05-30,joerogan,UCQvYJUv8erljnRHgV1XwzVw,972.0,11.0,1.0
2021-05-30,Association of American Physicians and Surgeons,UC3s3FP43fBfHUH0rmpb5r4Q,1337098.0,9360.0,516.0
2021-05-30,North Carolina Department of Health and Human Services,UCw5kLIHIJZPjetMjbjLSHQg,1107227.0,3030.0,587.0
2021-05-31,INFORMATION WARFARE,UCUbCBA3uLH49uOeKBA9zQ3A,10510.0,32.0,32.0
2021-05-31,Carl Vernon,UC7rlvlj-jumO7LrXpP-8NZQ,24539013.0,72700.0,914.0
2021-05-31,CrowderBits,UCMAtX9eFBpwc4LtgvbqsOpQ,229319882.0,955000.0,1053.0
2021-05-31,Tate Chasers,UChS7p2emhoFlyDSthDk7PWA,570288.0,2030.0,82.0
2021-05-31,TFIglobal,UCZz8q2tZC7QuQiFwPKQ4Bug,154260910.0,338000.0,1133.0
2021-05-31,David Mongielo,UCAmLN5U6ndPgEcc4XpMBdxg,217973.0,496.0,173.0
2021-05-31,Petrified News,UCnCJI5CILRrdK24R48H2r6w,53212.0,402.0,115.0
2021-05-31,Victory Entertainment,UCEMLBAiyLY4tCUxQ9OJaBlA,134560.0,1590.0,189.0
2021-05-31,WE GOT A PROBLEM,UCLWT1NTlgP7CCs4ZNNpe5AQ,82255779.0,160000.0,1239.0
2021-05-31,Lightbeamer 2,UCUyIdrYUJt036l00tkHfx0w,354725.0,3690.0,52.0
2021-05-31,Mr.Sauceman X,UCYpe0dPGgAW70SWBECOeM4A,530540.0,2590.0,365.0
2021-05-31,Veritas TV,UCzAKaxOOeD8MnZ4_LitjWpA,10186672.0,96000.0,1468.0
2021-05-31,China Uncensored,UCgFP46yVT-GG4o1TgXn-04Q,355399760.0,1610000.0,1446.0
2021-05-31,The Pholosopher,UCT5KWZpslhrYKBhdCUUzr1Q,947279.0,28100.0,199.0
2021-05-31,Unidentified - Whistleblower,UCAyKDaEmdk3MAv14P3X_-tw,1022.0,70.0,11.0
2021-05-31,Dr. Steve Turley,UCCsiAKRKcgzA_372WbXNBaw,228112469.0,748000.0,2107.0
2021-05-31,John Talks,UCUZAUoL2_bd9cR8R5T_iSlQ,62589559.0,117000.0,1200.0
2021-05-31,Body Language Ghost,UC7n8r27jRnjpYpfyEfBOLFw,28937193.0,-1.0,220.0
2021-05-31,Odair Del Pozzo,UCXA6RQ5Je4HiagqAPpuX1sw,8737866.0,94600.0,517.0
2021-05-31,Daniel Silveira - Deputado Federal,UCXwAKQLIE7lTs21VJ1oSBhA,1922687.0,73000.0,360.0
2021-05-31,Augusto Almeida,UCKNsAq3tNpbvATnAbK3nwDA,3141544.0,23900.0,1090.0
2021-05-31,1822jornal,UCl4GlGXR0ED6AUJU1kRhRzQ,0.0,20300.0,0.0
2021-05-31,Novo Brasil Notícias,UCXqTpcsO4kgwk5K5v76Ushw,58023.0,836.0,729.0
2021-05-31,Os Pingos nos Is,UCzjtGnD7qqeaHW3nvDVrjQA,1322775253.0,3380000.0,6434.0
2021-05-31,Arthur Weintraub,UCmnSD245HC6yT_ABIIfEcNQ,475508.0,38400.0,82.0
2021-05-31,Jair Bolsonaro,UC8hGUtfEgvvnp6IaHSAg1OQ,232504463.0,3400000.0,2825.0
2021-05-31,EDUARDO BOLSONARO,UCkR6xPOHhpjq3wnFchVI4sg,68895942.0,858000.0,1668.0
2021-05-31,Flavio Bolsonaro,UCl2HptoHv6PjZMQAwTdA--Q,26155627.0,322000.0,1566.0
2021-05-31,Carlos Bolsonaro,UCBrntWupyTRnnsRy3dA4VdA,52305895.0,299000.0,1254.0
2021-05-31,Carla Zambelli,UCX9VzlP1DyeasSivEr9Eddw,42985733.0,470000.0,2670.0
2021-05-31,What's going on?,UCIQWl7Vsw2BkNF3IDp7W_sg,9958.0,148.0,20.0
2021-05-31,A Taste of Medicine,UCUL6210K8wHs1nenNh5gtAA,42099.0,201.0,11.0
2021-05-31,Pascal Juang MD,UCrfOP0dgfFhxAYILfsHKGiw,5835.0,238.0,23.0
2021-05-31,OVALmedia in English,UCtx0AYvGYw4uxug_zPAfVIA,849675.0,13800.0,55.0
2021-05-31,Dr. Hong's Pharmacy Classroom,UCFbWA0wLcQk3eoRv6nIb-1A,91817.0,1330.0,89.0
2021-05-31,Whiteboard Doctor,UCiMhM7xCTT8b5SJRnhpH7Ag,1646551.0,22000.0,399.0
2021-05-31,"F. Perry Wilson, MD",UCu4OHd94MHqjlMp_Mgks84w,1342148.0,11200.0,368.0
2021-05-31,Triggernometry,UC7oPkqeHTwuOZ5CZ-R9f-6w,23876701.0,246000.0,323.0
2021-05-31,OH MY GOD,UC78Iz691HisenUxRwnFkk1Q,163609.0,943.0,447.0
2021-05-31,PANDA,UCDdN8LSNc3onvOyCd_UR5wg,103862.0,4300.0,33.0
2021-05-31,Doctor Mike Hansen,UCMSsLqxqvZsNXi0Z-VjN89A,49578027.0,672000.0,95.0
2021-05-31,"Christy Risinger, MD",UCsROLRYekI50Ew8GXRWYn2g,14469136.0,97500.0,93.0
2021-05-31,STRANGER THAN FICTION NEWS,UCs152rb_PU7LuxzwZ4SpbjA,1535497.0,19400.0,306.0
2021-05-31,Vaccine Risks,UCbsEOodoIrWNrBhsqXIW1Vg,82415.0,2900.0,25.0
2021-05-31,Vaccine Wars,UCL8IU3JsDLxAQKsdLBahwwQ,128231.0,23900.0,92.0
2021-05-31,Hear This Well: Breaking the Silence on Vaccine Violence,UCFCrfK5rP_B6huriP1hLApw,1602019.0,3890.0,294.0
2021-05-31,Vaccine Rights,UC9F4ptzf85Zl2mTskvJV3Aw,28498.0,883.0,126.0
2021-05-31,The Messiahs Return,UCiLrcNHBTdsLZlMOSZzwBIQ,41372.0,871.0,166.0
2021-05-31,GreenMedInfo.com,UC948hzpVhfoHjkjWObJHV3Q,589423.0,15500.0,70.0
2021-05-31,Drbeen Medical Lectures,UCrtd2wePvAl6RN_D-9jWVQQ,23933532.0,312000.0,1005.0
2021-05-31,TrialSite News,UC4tNlDJkV_YdwMErMRutt4A,4512085.0,48200.0,227.0
2021-05-31,Doctor Mike,UC0QHWhjbe5fGJEPz3sVb6nw,897572641.0,7230000.0,357.0
2021-05-31,Doctor Mike Hansen,UCMSsLqxqvZsNXi0Z-VjN89A,49578027.0,672000.0,95.0
2021-05-31,Dr Pal,UCP4k407eomZThGHo_9sgMkg,7517449.0,120000.0,80.0
2021-05-31,Dr. Suneel Dhand - MedStoic Lifestyle Medicine,UCU-Jctu4JTEGFtVnsuqdd5Q,6241741.0,98100.0,160.0
2021-05-31,Dr. Sam Bailey,UCyD52JnQnXkLe5HGm4IArHw,16923335.0,242000.0,100.0
2021-05-31,GreenMedInfo.com,UC948hzpVhfoHjkjWObJHV3Q,589423.0,15500.0,70.0
2021-05-31,Dr. Ben Tapper,UCV34-Z_GmMMpZwXvcoqaF-g,18176.0,934.0,10.0
2021-05-31,My Incredible Opinion with Forrest Maready,UCwc0nUV55sTXXwS2E8UchmA,886945.0,13600.0,141.0
2021-05-31,Debunk the Funk with Dr. Wilson,UCJ2SN2gN1dmrFBEo6TWIzOw,209529.0,5480.0,75.0
2021-05-31,Danny Tommo,UCe_NpqhP5Y2_25OoXcmNsGA,1681167.0,25500.0,76.0
2021-05-31,EntertheStars,UCxgB6grGSx3bcB3vlcy7Tfg,14453519.0,97400.0,1905.0
2021-05-31,CinemaLibre,UCPRV4ofh41GyxezlTw0kkqA,7196141.0,7310.0,648.0
2021-05-31,Paul Joseph Watson,UCittVh8imKanO_5KohzDbpg,497590519.0,1880000.0,801.0
2021-05-31,Dr. Frita,UCBve_ppCNE67fs3MsIocitg,10710045.0,291000.0,107.0
2021-05-31,Unity News Network,UC44ygHhf5-2W-uR44BpPVdg,3973684.0,39600.0,705.0
2021-05-31,Front Line COVID-19 Critical Care Alliance - FLCCC,UC5rJlf5jdr_I6qiozbQdx-g,1847319.0,27000.0,23.0
2021-05-31,talkRADIO,UCm0yTweyAa0PwEIp0l3N_gA,149078480.0,268000.0,5065.0
2021-05-31,Subject Access,UCnGBNHhhgXeTjmqM_C-drsg,5867951.0,45000.0,129.0
2021-05-31,Idaho Freedom TV,UCPQsmBrZLNgVp7g_XV73dKw,796799.0,5980.0,407.0
2021-05-31,Tracey O' Mahony Barrister at Law,UC2TVSCwWPQQscAqFlFWRIDw,537600.0,12500.0,36.0
2021-05-31,RonPaulLibertyReport,UCkJ1N-7g9Q6n7KnriGit-Ig,32185939.0,282000.0,1856.0
2021-05-31,Bret Weinstein,UCi5N_uAqApEUIlg32QzkPlg,25038264.0,297000.0,244.0
2021-05-31,Sputnik V,UCLvQuKL3Nn7NnT9Jyi_dlgQ,832660.0,5860.0,38.0
2021-05-31,Covexit News and Analysis,UChsuq2uAwfsUK707FocaT8Q,480951.0,8260.0,40.0
2021-05-31,Ohio Department of Health,UCBYbGpgjIoXKHwr4hYUU10g,1626617.0,2170.0,104.0
2021-05-31,Michael Heaver,UCnVjidHzypKf5oTKWSA1G3g,15122943.0,60700.0,751.0
2021-05-31,Big Brother Watch,UCNDWHbVrIRW_FQ8rkE1Z1GQ,338675.0,10600.0,47.0
2021-05-31,Bright Light News,UCxCYYyKOs0Eoh9vLm9UEX3g,203544.0,2930.0,78.0
2021-05-31,Children's Health Defense,UCZcW0uVZDTaEXfBS-JV-zUg,2735947.0,44500.0,196.0
2021-05-31,Pandemic Podcast,UCzoK4wqTk85XzSTdy1XHz3g,526483.0,14700.0,93.0
2021-05-31,Geert Vanden Bossche,UC_yhGQiJ5lTmOaoIQA91GzA,749067.0,30300.0,9.0
2021-05-31,Vejon Health,UCSxeKmlI8XLrI1eMaqqM-kg,1697605.0,20000.0,58.0
2021-05-31,Biblical Prescriptions for Life,UCQwPX_sEaDhYEfbnmh6dAow,2628774.0,86200.0,114.0
2021-05-31,Benjamin Neuman,UCzO29pYlZACoX-9a895PPtw,140630.0,1090.0,459.0
2021-05-31,Debunk the Funk with Dr. Wilson,UCJ2SN2gN1dmrFBEo6TWIzOw,209529.0,5480.0,75.0
2021-05-31,Parents For Healthcare Rights,UCKt-o4gMYO7FH2MLkynIphA,7043642.0,13200.0,410.0
2021-05-31,Dr. John Campbell,UCF9IOB2TExg3QIBupFtBDxg,154752487.0,981000.0,1722.0
2021-05-31,Medcram Med,UCJ_Uk2DDbsnjq8OLIkHrUfw,0.0,2.0,0.0
2021-05-31,Drbeen Medical Lectures,UCrtd2wePvAl6RN_D-9jWVQQ,23933532.0,312000.0,1005.0
2021-05-31,Mercola,UCxscQY7X0mtnaCbkGTjZ17g,104480261.0,389000.0,2531.0
2021-05-31,Erin Elizabeth at Health Nut News,UC85x4iQIC8JENyLy6xRsF8Q,5315807.0,48000.0,526.0
2021-05-31,DrStella Immanuel,UCXfDKqaPr6U1w9u9p_K-QoA,3228932.0,50500.0,430.0
2021-05-31,Vaccine Myth,UCwX9Y4p6EJ-ZXutGY7x4DIQ,164291.0,1970.0,172.0
2021-05-31,LarryCook333,UCGW2Yqy7GvjDg92HdW9urdA,9058360.0,52000.0,520.0
2021-05-31,Russell Brand,UCswH8ovgUp5Bdg-0_JTYFNw,308967819.0,3250000.0,1338.0
2021-05-31,ZDoggMD,UCFyRz1N_T-rnSkbaAH_TFAw,66162144.0,350000.0,1091.0
2021-05-31,Kelly Brogan MD,UCrd5zW6kiV52XuvOvIeYrEQ,1361750.0,23300.0,112.0
2021-05-31,joerogan,UCQvYJUv8erljnRHgV1XwzVw,972.0,11.0,1.0
2021-05-31,Association of American Physicians and Surgeons,UC3s3FP43fBfHUH0rmpb5r4Q,1340235.0,9420.0,516.0
2021-05-31,North Carolina Department of Health and Human Services,UCw5kLIHIJZPjetMjbjLSHQg,1111696.0,3040.0,587.0
2021-06-01,INFORMATION WARFARE,UCUbCBA3uLH49uOeKBA9zQ3A,10511.0,31.0,32.0
2021-06-01,Carl Vernon,UC7rlvlj-jumO7LrXpP-8NZQ,24670330.0,72900.0,918.0
2021-06-01,CrowderBits,UCMAtX9eFBpwc4LtgvbqsOpQ,229363084.0,955000.0,1053.0
2021-06-01,Tate Chasers,UChS7p2emhoFlyDSthDk7PWA,570305.0,2030.0,82.0
2021-06-01,TFIglobal,UCZz8q2tZC7QuQiFwPKQ4Bug,154404570.0,338000.0,1137.0
2021-06-01,David Mongielo,UCAmLN5U6ndPgEcc4XpMBdxg,217986.0,496.0,173.0
2021-06-01,Petrified News,UCnCJI5CILRrdK24R48H2r6w,53328.0,402.0,117.0
2021-06-01,Victory Entertainment,UCEMLBAiyLY4tCUxQ9OJaBlA,134699.0,1590.0,189.0
2021-06-01,WE GOT A PROBLEM,UCLWT1NTlgP7CCs4ZNNpe5AQ,82344211.0,160000.0,1240.0
2021-06-01,Lightbeamer 2,UCUyIdrYUJt036l00tkHfx0w,355127.0,3690.0,52.0
2021-06-01,Mr.Sauceman X,UCYpe0dPGgAW70SWBECOeM4A,530576.0,2590.0,362.0
2021-06-01,Veritas TV,UCzAKaxOOeD8MnZ4_LitjWpA,10188410.0,96000.0,1468.0
2021-06-01,China Uncensored,UCgFP46yVT-GG4o1TgXn-04Q,355617968.0,1610000.0,1447.0
2021-06-01,The Pholosopher,UCT5KWZpslhrYKBhdCUUzr1Q,947848.0,28100.0,199.0
2021-06-01,Unidentified - Whistleblower,UCAyKDaEmdk3MAv14P3X_-tw,1022.0,70.0,11.0
2021-06-01,Dr. Steve Turley,UCCsiAKRKcgzA_372WbXNBaw,228161577.0,748000.0,2108.0
2021-06-01,John Talks,UCUZAUoL2_bd9cR8R5T_iSlQ,62647185.0,117000.0,1200.0
2021-06-01,Body Language Ghost,UC7n8r27jRnjpYpfyEfBOLFw,28941401.0,-1.0,220.0
2021-06-01,Odair Del Pozzo,UCXA6RQ5Je4HiagqAPpuX1sw,8762975.0,94700.0,517.0
2021-06-01,Daniel Silveira - Deputado Federal,UCXwAKQLIE7lTs21VJ1oSBhA,1922856.0,73000.0,360.0
2021-06-01,Augusto Almeida,UCKNsAq3tNpbvATnAbK3nwDA,3142379.0,23900.0,1090.0
2021-06-01,1822jornal,UCl4GlGXR0ED6AUJU1kRhRzQ,0.0,20300.0,0.0
2021-06-01,Novo Brasil Notícias,UCXqTpcsO4kgwk5K5v76Ushw,58130.0,836.0,731.0
2021-06-01,Os Pingos nos Is,UCzjtGnD7qqeaHW3nvDVrjQA,1324046874.0,3390000.0,6445.0
2021-06-01,Arthur Weintraub,UCmnSD245HC6yT_ABIIfEcNQ,475560.0,38400.0,82.0
2021-06-01,Jair Bolsonaro,UC8hGUtfEgvvnp6IaHSAg1OQ,232615567.0,3400000.0,2826.0
2021-06-01,EDUARDO BOLSONARO,UCkR6xPOHhpjq3wnFchVI4sg,68995027.0,859000.0,1668.0
2021-06-01,Flavio Bolsonaro,UCl2HptoHv6PjZMQAwTdA--Q,26614309.0,324000.0,1574.0
